gene_mouse,gene_upper
Nek7,NEK7
Gm5833,GM5833
Lhx9,LHX9
2310009B15Rik,2310009B15RIK
Dennd1b,DENND1B
Crb1,CRB1
Zbtb41,ZBTB41
Aspm,ASPM
F13b,F13B
Cfhr1,CFHR1
Gm4788,GM4788
Cfhr2,CFHR2
Cfh,CFH
Kcnt2,KCNT2
Cdc73,CDC73
B3galt2,B3GALT2
Glrx2,GLRX2
Trove2,TROVE2
Uchl5,UCHL5
Rgs2,RGS2
Rgs13,RGS13
Rgs1,RGS1
Rgs18,RGS18
Pla2g4a,PLA2G4A
Ptgs2,PTGS2
Pdc,PDC
2310030A07Rik,2310030A07RIK
Tpr,TPR
Prg4,PRG4
Hmcn1,HMCN1
C730036E19Rik,C730036E19RIK
Ivns1abp,IVNS1ABP
Rnf2,RNF2
Fam129a,FAM129A
Edem3,EDEM3
1700025G04Rik,1700025G04RIK
Tsen15,TSEN15
Rgl1,RGL1
Apobec4,APOBEC4
Arpc5,ARPC5
Ncf2,NCF2
Smg7,SMG7
Nmnat2,NMNAT2
Lamc2,LAMC2
Lamc1,LAMC1
E330020D12Rik,E330020D12RIK
Dhx9,DHX9
Npl,NPL
Rgs8,RGS8
Rgs16,RGS16
Rnasel,RNASEL
Rgsl1,RGSL1
Glul,GLUL
Zfp648,ZFP648
4930452N14Rik,4930452N14RIK
Cacna1e,CACNA1E
Ier5,IER5
Mr1,MR1
Stx6,STX6
Xpr1,XPR1
Acbd6,ACBD6
Lhx4,LHX4
Qsox1,QSOX1
Cep350,CEP350
Tor1aip1,TOR1AIP1
Tor1aip2,TOR1AIP2
Fam163a,FAM163A
Tdrd5,TDRD5
Nphs2,NPHS2
Soat1,SOAT1
Abl2,ABL2
Tor3a,TOR3A
Fam20b,FAM20B
Ralgps2,RALGPS2
Angptl1,ANGPTL1
Rasal2,RASAL2
2810025M15Rik,2810025M15RIK
Sec16b,SEC16B
Astn1,ASTN1
Pappa2,PAPPA2
Tnr,TNR
4930523C07Rik,4930523C07RIK
4930562F07Rik,4930562F07RIK
Tnn,TNN
Mrps14,MRPS14
Cacybp,CACYBP
Rabgap1l,RABGAP1L
Gpr52,GPR52
Rc3h1,RC3H1
Serpinc1,SERPINC1
Zbtb37,ZBTB37
Gas5,GAS5
Snord47,SNORD47
Dars2,DARS2
Cenpl,CENPL
Klhl20,KLHL20
Ankrd45,ANKRD45
Prdx6,PRDX6
Tnfsf4,TNFSF4
Tnfsf18,TNFSF18
Fasl,FASL
4930558K02Rik,4930558K02RIK
Pigc,PIGC
Dnm3,DNM3
2810442N19Rik,2810442N19RIK
Dnm3os,DNM3OS
Mettl13,METTL13
Vamp4,VAMP4
Myoc,MYOC
Prrc2c,PRRC2C
Fmo4,FMO4
Fmo1,FMO1
Fmo2,FMO2
Fmo6,FMO6
Fmo3,FMO3
Prrx1,PRRX1
Gorab,GORAB
Mettl11b,METTL11B
Kifap3,KIFAP3
Scyl3,SCYL3
BC055324,BC055324
Sele,SELE
Sell,SELL
Selp,SELP
Gm16548,GM16548
F5,F5
Slc19a2,SLC19A2
Blzf1,BLZF1
Nme7,NME7
Atp1b1,ATP1B1
Dpt,DPT
Xcl1,XCL1
4930568G15Rik,4930568G15RIK
Tbx19,TBX19
Sft2d2,SFT2D2
Tiprl,TIPRL
Gpr161,GPR161
Dcaf6,DCAF6
Adcy10,ADCY10
Mpzl1,MPZL1
Rcsd1,RCSD1
Creg1,CREG1
Cd247,CD247
Pou2f1,POU2F1
Dusp27,DUSP27
Gpa33,GPA33
Mael,MAEL
Ildr2,ILDR2
Tada1,TADA1
Pogk,POGK
Gm4847,GM4847
Fmo9,FMO9
Gm16701,GM16701
Fam78b,FAM78B
Uck2,UCK2
Tmco1,TMCO1
Aldh9a1,ALDH9A1
Mgst3,MGST3
Lrrc52,LRRC52
Rxrg,RXRG
Lmx1a,LMX1A
Pbx1,PBX1
