group,gene,n_age_points,min_cells_per_age,slope_expr_vs_age,gene_class
Non-interneuron neuronal labels,Atf4,3,134,-0.010784864631354878,Other proteostasis/stress
Non-interneuron neuronal labels,Atf6,3,134,-0.027856980796790345,Other proteostasis/stress
Non-interneuron neuronal labels,Bag3,3,134,-0.0015583234734593994,Other proteostasis/stress
Non-interneuron neuronal labels,Ddit3,3,134,-0.010840208666023393,Other proteostasis/stress
Non-interneuron neuronal labels,Dnajb1,3,134,-0.018819626257595236,Other proteostasis/stress
Non-interneuron neuronal labels,Dnajb6,3,134,-0.03225017029141286,Other proteostasis/stress
Non-interneuron neuronal labels,Eif2ak3,3,134,-0.01083870298803842,Other proteostasis/stress
Non-interneuron neuronal labels,Hsf1,3,134,-0.007839775753836957,HSP/chaperone
Non-interneuron neuronal labels,Hsp90aa1,3,134,-0.034006848572901024,HSP/chaperone
Non-interneuron neuronal labels,Hsp90ab1,3,134,-0.04374718240013496,HSP/chaperone
Non-interneuron neuronal labels,Hspa1a,3,134,-0.00848892603907099,HSP/chaperone
Non-interneuron neuronal labels,Hspa5,3,134,-0.029396645580636923,HSP/chaperone
Non-interneuron neuronal labels,Hspd1,3,134,-0.03938828986165244,HSP/chaperone
Non-interneuron neuronal labels,Hsph1,3,134,-0.07061023668550914,HSP/chaperone
Non-interneuron neuronal labels,Psmb5,3,134,-0.04326189312145921,Other proteostasis/stress
Non-interneuron neuronal labels,Xbp1,3,134,-0.03265651726958556,Other proteostasis/stress
Oligodendrocyte,Atf4,3,134,0.0025082145157270873,Other proteostasis/stress
Oligodendrocyte,Atf6,3,134,-0.01521339810466374,Other proteostasis/stress
Oligodendrocyte,Bag3,3,134,0.0015366135338063943,Other proteostasis/stress
Oligodendrocyte,Ddit3,3,134,0.013571147751677577,Other proteostasis/stress
Oligodendrocyte,Dnajb1,3,134,-2.121283618271102e-4,Other proteostasis/stress
Oligodendrocyte,Dnajb6,3,134,-0.005304274572355021,Other proteostasis/stress
Oligodendrocyte,Eif2ak3,3,134,-0.012581566709575312,Other proteostasis/stress
Oligodendrocyte,Hsf1,3,134,-0.0071183202912010355,HSP/chaperone
Oligodendrocyte,Hsp90aa1,3,134,0.009998368351082733,HSP/chaperone
Oligodendrocyte,Hsp90ab1,3,134,-3.945882059981252e-4,HSP/chaperone
Oligodendrocyte,Hspa1a,3,134,1.8085656052398112e-4,HSP/chaperone
Oligodendrocyte,Hspa5,3,134,-0.026676334841775083,HSP/chaperone
Oligodendrocyte,Hspd1,3,134,-0.012697034817752837,HSP/chaperone
Oligodendrocyte,Hsph1,3,134,-0.025086106188040885,HSP/chaperone
Oligodendrocyte,Psmb5,3,134,0.009746669658865325,Other proteostasis/stress
Oligodendrocyte,Xbp1,3,134,-0.005289797991663606,Other proteostasis/stress
