gene,jenage_blood_age_logFC_per_year,jenage_blood_age_logFC_per_decade,jenage_blood_age_t,jenage_blood_age_p,jenage_blood_age_fdr,jenage_blood_age_ave_log2_rpkm
KDM6A,8.760582918975153e-4,0.008760582918975152,0.29929816208390747,0.7657210217175903,0.9441942883356145,2.6831607904784662
THRB-IT1,-8.844919251552585e-5,-8.844919251552586e-4,-0.2992885719774694,0.7657283036449116,0.9441942883356145,0.07601725993622008
ATF4P1,-1.498857474951816e-4,-0.001498857474951816,-0.29927154898225017,0.7657412295405458,0.9441942883356145,0.1052093202935145
Y_RNA,3.526169119101641e-5,3.5261691191016407e-4,0.2992122756526279,0.7657862374688553,0.9442080706730762,0.06387181580261984
MSNP1,0.0012379728669017493,0.012379728669017494,0.29904138033554134,0.7659160076871439,0.9442181117503428,2.2066436368602123
CTC-325J23.3,3.2066891066458695e-4,0.0032066891066458696,0.29900884708615905,0.765940712736292,0.9442181117503428,0.25887334188054917
CASC5,1.0836196669953424e-4,0.0010836196669953423,0.29900224228230216,0.7659457283119233,0.9442181117503428,0.18002682907836268
RP11-438P9.1,-0.00018878948330567225,-0.0018878948330567225,-0.29894431726049325,0.7659897160181723,0.9442181117503428,0.09862952316693076
CTD-2611O12.3,1.842404041508109e-4,0.001842404041508109,0.29893699345617586,0.7659952777000061,0.9442181117503428,0.04114720762869347
APOL3,6.938457623594913e-4,0.006938457623594913,0.2988994730751695,0.76602377079345,0.9442181117503428,3.940717228957917
XXBAC-BPG246D15.8,3.209917893234004e-4,0.0032099178932340038,0.2988679257004967,0.7660477282183471,0.9442181117503428,2.572163003379824
RP11-894P9.1,6.377262634988002e-4,0.006377262634988001,0.2988451457890098,0.7660650276773473,0.9442181117503428,0.5444047547226686
RP11-923I11.3,-8.469465740694061e-5,-8.469465740694061e-4,-0.29876176197171245,0.7661283518104934,0.9442544623109239,0.024654746163788075
COX7A2,-5.20447646118735e-4,-0.00520447646118735,-0.29849277562229554,0.7663326388968434,0.9443817753938635,6.057466717276438
POM121,5.189576866198373e-4,0.005189576866198373,0.2984584410528523,0.7663587161735386,0.9443817753938635,1.6650100123766671
ESRP1,4.707946440297434e-5,4.7079464402974345e-4,0.2984381991922723,0.7663740900946447,0.9443817753938635,0.025450673418622657
RP11-330L19.4,2.3205426954142836e-4,0.0023205426954142835,0.2984175144646998,0.7663898004755816,0.9443817753938635,0.13941319851936443
MTCP1,3.598792900741899e-4,0.003598792900741899,0.29832813980338463,0.7664576830893479,0.9443817753938635,0.4673480110099838
ALDH3A2,4.047688435384582e-4,0.004047688435384582,0.29828001066435006,0.7664942393091212,0.9443817753938635,3.0688248297672116
RPS17P2,-3.2124481225572984e-4,-0.003212448122557298,-0.2982308817357756,0.766531555462747,0.9443817753938635,0.33661936170511747
MTM1,9.326559419101546e-4,0.009326559419101547,0.2981817568674142,0.7665688690871801,0.9443817753938635,2.7832606153926718
TRAJ53,-0.0014106849372186232,-0.014106849372186231,-0.2981080506190368,0.7666248549548478,0.9443817753938635,1.7954272268762907
GATC,-3.615361854311734e-4,-0.003615361854311734,-0.2980923056643535,0.7666368146854861,0.9443817753938635,1.5309728930204127
CCDC125,-5.208755333894624e-4,-0.005208755333894624,-0.29806077481686816,0.7666607654142563,0.9443817753938635,2.172280667956696
SCFD1,-4.1282535413995826e-4,-0.004128253541399582,-0.2980499100817932,0.7666690182844504,0.9443817753938635,3.308715698193528
RP11-378G13.2,-6.932980868125695e-4,-0.006932980868125695,-0.2980466098545014,0.7666715251477664,0.9443817753938635,0.3347866254088072
ANAPC10P1,2.667780766333033e-4,0.002667780766333033,0.2979396706621415,0.766752757857942,0.9443836177681373,0.23990280144188184
CTGLF11P,3.308062956507204e-5,3.308062956507204e-4,0.297869649650998,0.7668059483538632,0.9443836177681373,0.011601129348340336
RP11-63P12.6,5.675062459599414e-4,0.005675062459599414,0.29786770864640993,0.7668074228272808,0.9443836177681373,1.4165191564545618
ZNF358,-8.488014325716215e-4,-0.008488014325716215,-0.29784156821452806,0.766827280346293,0.9443836177681373,1.509375061456834
RP11-442N24__B.1,2.13340579347326e-4,0.0021334057934732603,0.2977934906457987,0.7668638027705278,0.9443836177681373,0.18058767193727399
GRB7,-3.214965409003048e-5,-3.214965409003048e-4,-0.29777738016681093,0.7668760413148357,0.9443836177681373,0.011255358062827401
SNORA5C,-9.213431820443443e-4,-0.009213431820443443,-0.29762151436282785,0.7669944499672958,0.9444877608024367,1.0569245278244288
PIK3CB,-3.1492258362401465e-4,-0.0031492258362401464,-0.2975431861428026,0.7670539567147002,0.9445193652125334,2.9754829809195043
WDR6,-0.0013737922396580276,-0.013737922396580275,-0.2974458624532381,0.7671278964746996,0.9445687382807104,2.9110363424850085
SFSWAP,8.605232170333491e-4,0.008605232170333491,0.2972811778415788,0.7672530173182965,0.9446572553737453,1.6146417384798695
TIMM13,-4.316531881673486e-4,-0.004316531881673486,-0.29716483291005097,0.7673414153353482,0.9446572553737453,3.535821704507356
AAK1,3.249818370204805e-4,0.003249818370204805,0.2971614247085981,0.7673440049083267,0.9446572553737453,0.344380480010371
NAT6,8.747317008318447e-4,0.008747317008318448,0.29713566279932757,0.7673635790557047,0.9446572553737453,1.5928455602518687
RP11-400N9.1,-1.2319676203859158e-4,-0.0012319676203859159,-0.29705069027385456,0.7674281430787273,0.9446572553737453,0.10496788606473083
ALKBH6,3.143184269293805e-4,0.0031431842692938045,0.29703055520024896,0.7674434423998311,0.9446572553737453,0.35046727846122383
EIF3G,7.92635531464584e-4,0.00792635531464584,0.297005167142351,0.767462733251332,0.9446572553737453,6.522209399932638
RPL23AP3,1.034848200426508e-4,0.001034848200426508,0.29695138121816594,0.7675036024135178,0.9446572553737453,0.03268542323501285
AC026150.9,2.375402834278448e-4,0.002375402834278448,0.29695032595754073,0.7675044042585113,0.9446572553737453,0.18752769964304508
SAFB,0.0012696000107989848,0.012696000107989849,0.2968177564656573,0.7676051398689603,0.944739579915451,3.9862213033092764
RP11-1114A5.4,1.8533188978856429e-4,0.0018533188978856429,0.2965685383925455,0.7677945241515091,0.9449309978423415,0.17796944132263876
GMCL1P1,-1.6490448995269268e-4,-0.0016490448995269268,-0.296433403274437,0.7678972211489188,0.9449680416302269,0.22941004547727575
