gene_symbol,log_fc,t,p_value,adj_p_val,delta_mesor,mesor_p,mesor_FDR,rhythmic_SR_effect_amplitude,SR_effect_acrophase_h
C8ORF38,0.01824446936654576,0.4702503630866482,0.6384214230804202,0.7621818810126155,0.02634557342281688,0.4971259268238511,0.6712853547976779,0.01285000860034717,22.47597028961691
TBC1D25,-0.01349769372795726,-0.5554980334428256,0.5788512403768473,0.7182710241430006,-0.01646449992259574,0.4971517145812392,0.6712853547976779,0.0275296063931047,11.528543021834762
GRIK5,0.029217388430601388,0.9965114670853747,0.31957823262706053,0.4889397168874901,0.02053449989994079,0.49737010550913574,0.6715338376116923,0.07152057456687533,20.392588326436304
CCDC51,5.881966747702344e-4,0.0319738593162981,0.974508159377384,0.9854004627370482,0.0127581350677231,0.4974876983696892,0.6716014762122178,0.00730031094900287,5.744230703557216
SNED1,0.00568350321351813,0.2178739089085052,0.8276336791669796,0.8965458021288291,0.01791565276689968,0.49748893957176454,0.6716014762122178,0.06222165270656868,14.809098826388528
UMPS,-0.02456322534136719,-0.9800088031501288,0.3276486547330867,0.49721071384167487,-0.01717107257900691,0.49758122642095026,0.6716796591248818,0.02970629241346092,9.310279676358038
GAN,0.0312171090354915,1.0383276976050868,0.299717792899994,0.46771964471001304,0.02051837822543663,0.49773578837035337,0.6718418899319663,0.04382513139131928,7.163994843459764
PPP1R3E,0.01593865428001734,0.6771148596887963,0.4987076533353555,0.6533417976552817,0.01599263236895222,0.49794873362811265,0.6720828984546864,0.0118712444194714,14.008386879775866
LOC731789,0.02273605823543099,0.4801804466489838,0.631350282234473,0.756530734517058,0.03246563436062629,0.49804363866602175,0.6721489632885992,0.045012474808293,8.218012084158113
C10ORF10,-0.06019005904102936,-1.117845193935417,0.2642751918954135,0.4282445911624741,-0.03624415796000499,0.4980664750227172,0.6721489632885992,0.17602019674030497,20.931071314936872
C5ORF13,-0.03696569292823339,-1.15066139400353,0.25052941036342585,0.4126428867086737,-0.02210626859706434,0.4981814859808057,0.6722563067718921,0.02368336442736668,3.9189356755961575
KIAA1661,-0.02712734317861989,-0.4073167777453742,0.6839838593698017,0.7958641129182049,-0.04531159198886142,0.4982490046673061,0.6722563067718921,0.2186639447059858,13.059287491811096
DMRT3,-0.01777676189267661,-0.5381172771044027,0.5907825017055899,0.7278073928778799,-0.02238231254111145,0.4982492242452952,0.6722563067718921,0.03051790803863924,15.37373557472046
RPL30,-0.02261014719455928,-0.7333172471336312,0.46377603666927014,0.6228711173604331,-0.02120050789123009,0.49850966658479146,0.6724559676832306,0.0411153412014145,10.795203551372218
PHTF1,0.05436145322019135,1.580259789016241,0.11480378972898822,0.2419522061145555,0.02453331333170194,0.49856854772799863,0.6724559676832306,0.08328666868783098,23.210623252301588
KRTAP9-9,-0.05801591807183895,-0.8239435009487032,0.4104415537828896,0.5759098432174741,-0.04769609366037566,0.4985810866823728,0.6724559676832306,0.05752668928991834,13.128256179368112
HBQ1,0.05345442617028714,0.9506952654483428,0.342308476905155,0.5116639090975637,0.03861316665792688,0.4986049461965305,0.6724559676832306,0.07266836987747742,18.202141980634952
SLC7A4,-0.03815628397691173,-0.6772397127693001,0.4986285273668932,0.6532819345140102,-0.03849825797504194,0.498629630385234,0.6724559676832306,0.11221768394718126,9.411253257694556
ST6GAL2,0.0240546821114552,0.7436666658466062,0.45749597706400646,0.6173149525175672,0.02214462618384066,0.4986733147118536,0.6724559676832306,0.02807888837369725,15.27413203110562
CHRND,-0.02937243892542525,-0.8906206147142177,0.3736450827422843,0.5423710118754255,-0.02233582265386265,0.4987188200252578,0.6724559676832306,0.09142075114067244,18.079330806904252
ECH1,-0.0163362752972416,-0.9172240225749386,0.35955418349515145,0.5284729823000192,-0.01205301008648783,0.4987530427731154,0.6724559676832306,0.01474752838614445,13.776559482204306
PIP4K2A,0.02068492055649422,0.7553650188788176,0.45045542803884,0.6112742721740954,0.01842805510660661,0.4987603263690249,0.6724559676832306,0.05903111263222742,13.90314808390208
CDC42SE1,-0.00204187425266212,-0.1188977247075276,0.9054135047440096,0.9446284677381822,-0.01195736863218826,0.4987616987754764,0.6724559676832306,0.04218726397761988,0.19139481194369332
TIAM1,0.0368633984422275,1.008447675227188,0.31382301526685064,0.4828326143324001,0.02532628827753921,0.4987757430838107,0.6724559676832306,0.04851335332908201,20.931413904518894
PTPRN,-0.0167461938724647,-0.49334898604014926,0.6220251243352858,0.7503613592247825,-0.02311939838086456,0.4990724199504576,0.6728095314420071,0.00747006938130525,18.926738870003035
TMEM216,-0.01642810317997898,-0.810388459517283,0.4181780948964535,0.5828959378252085,-0.01371530167687939,0.4991172104329543,0.67282349676258,0.03126003358919519,20.53869286867568
C16ORF5,0.01244392412159853,0.6979193765294529,0.4856156748469517,0.6424355766152787,0.01213425011065681,0.4992451687969271,0.6728435409142968,0.03886273530352679,2.387820549761575
LOC100132460,0.01228573369077657,0.13162500183250636,0.8953442414309959,0.9389750347127728,0.06293121100734236,0.4992525321214501,0.6728435409142968,0.2391605285196327,22.145430075487234
ATRX,-0.0151022926770629,-0.8121797034795972,0.4171508277608108,0.5821699989482935,-0.01281743336746657,0.49929467994085974,0.6728435409142968,0.02724656983942153,15.101717750621706
C15ORF17,-0.01073466127466551,-0.38003547648056313,0.7041121114126525,0.8111215450754373,-0.01916050391478424,0.49932710393386615,0.6728435409142968,0.05320496392038019,21.995421466527695
TSPAN31,8.484963977096488e-4,0.04319362585430993,0.9655678122119128,0.9808775534639732,0.01357852442331662,0.4993297858474549,0.6728435409142968,0.05403776133804686,4.539304453423725
SPINK13,0.00900047631410167,0.29796431196504464,0.7658784522897241,0.8553483932213236,0.02053844629434775,0.49935643934637686,0.6728435409142968,0.05741255932199401,6.91962966902302
RAB5B,0.04179431976372314,1.7491775491395445,0.08099429601285482,0.19089489065097048,0.01721772051039484,0.4993731064878996,0.6728435409142968,0.03827005884622857,3.1675780232449107
MGC16142,0.0085167342112085,0.35698822821483783,0.7212807758246331,0.8244354024560808,0.01628368032620265,0.4996089343941643,0.6731148777576093,0.04388912689002188,4.632736712168252
HIST1H3F,0.03266859026151889,1.0613227704215962,0.2891560856077084,0.4558812735071026,0.02121668049912942,0.49989849133947784,0.6734232741887309,0.09038296602507394,20.50474633793854
FSD2,-0.05764645170244842,-0.7201968062327299,0.47180636944504295,0.6301823831391377,-0.05413033088921117,0.4999067609324871,0.6734232741887309,0.1210941631500451,19.11829417191911
DOCK4,0.03467374650689456,0.9999750005555677,0.3179011471784111,0.48718581421169566,0.0236478560021094,0.5000088756414309,0.6735144026269526,0.06851670396002867,19.883605247413502
PAK1,-0.00655871963937678,-0.24547986463652532,0.8062053808620933,0.8837190411974065,-0.01844391910538875,0.5000470090542974,0.6735193413240989,0.0646529342977996,22.408662111789702
C9ORF46,-0.00791820217211415,-0.41222531807221946,0.68038561448174,0.7932825353572602,-0.01304806271087007,0.50019644310806,0.673647563291854,0.029271817503316,10.585119925069426
DCP2,-0.00201052260774117,-0.12536248771618844,0.9002968565213567,0.9420455621570994,-0.01111339776091099,0.5002111531326341,0.673647563291854,0.0295861425267346,22.45391327793281
GHSR,0.03202445856744675,0.8495737613118456,0.3960484432393564,0.562849645770201,0.02619439147160537,0.5002564619532397,0.6736621544365142,0.0568826793396409,20.047847950610652
THSD7B,0.02096851109198726,0.5889444304318827,0.5562166950768184,0.6999182457657356,0.02388022887435496,0.5005988401235608,0.6740465436030585,0.04020977944387584,19.179946442875305
CA14,-0.00792167892826078,-0.19235547226601085,0.8475571884601663,0.9093975344425508,-0.02825421740828209,0.5006108943918524,0.6740465436030585,0.06372780462966299,16.143612758841908
FBXL15,-0.02202452608741013,-1.3461726339034046,0.17897645898489903,0.3283615608885468,-0.01111023039677611,0.500681334151029,0.6740949394133429,0.02181612294840177,20.527727452165916
C9ORF150,-0.05731625660542,-0.713159491751681,0.4761450314635731,0.6342433578616007,-0.05453273187690985,0.5007520517215054,0.6741437025621727,0.09598253911861623,22.81226612194528
MUC17,0.01470374588184598,0.42973258568049055,0.6676116216002685,0.783484397194814,0.02325186238936351,0.5010248002204418,0.6744644269156553,0.03911642201796109,8.030490208058115
MFAP4,0.01078146854502097,0.18635618713046695,0.8522558583669928,0.91259420945528,0.03895188426816361,0.5011018594075864,0.67452169419877706,0.14238564524594785,23.43251317740554
AXDND1,0.01356244570224332,0.4366220043861608,0.6626109561198001,0.7802868924633611,0.02088792598693305,0.5012375971845278,0.6746579340530966,0.04287237082677607,1.0193062393821466
IFI44,-0.03223750737391298,-0.7638594807130725,0.445381945432345,0.6069527990767029,-0.02853767559251065,0.5013153427004364,0.6746780369542147,0.02330476654970825,18.221804487184773
SNRPA,0.02237561218970496,1.1905244928539165,0.23451599797751604,0.39468410270249255,0.01271936232208156,0.5013215852093136,0.6746780369542147,0.02940454175636803,12.134694136789104
MAGEB6,0.03724600437816685,0.5480792274059063,0.5839300812811581,0.7223713420052614,0.0458199234313683,0.5013585326163268,0.6746812950799285,0.03153084760180665,19.48602569995928
PLA2G7,-0.02090680471974928,-0.6418993787376391,0.5212903832301207,0.6722898217198909,-0.0219830432159836,0.5015210818819875,0.6748535643200605,0.05817999321003835,10.672512693711791
C17ORF53,-0.03287147923740156,-0.9138713948971784,0.36131127355144954,0.5301469957551391,-0.02421831422836595,0.501589218460692,0.6748987755932234,0.03345980324448495,10.363454489153698
ASCL5,0.03766510867257609,0.834025456495073,0.4047430160109215,0.5705174403714505,0.0308565442877863,0.5017530625123552,0.6750386744778957,0.06103761577621701,18.39063603098018
MTUS1,0.05692870198221616,0.8368280795906907,0.40316738768688576,0.5692820234691405,0.04604706793649881,0.5018004623369687,0.6750386744778957,0.10634526325376502,13.63828841211386
HIST2H2BC,0.01835013707206011,0.8933720001381891,0.3721720643395397,0.5411302638440473,0.01409254845215233,0.5018076688298052,0.6750386744778957,0.05960393293270174,1.1266669439206578
